prediction_row_position,source_row_index,value,unit,fraction_type,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,92,117.0,Celcius,molar,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.866,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.134,,0.0,,0.0,117.0,128.444,127.63,-10.629999999999995,-1.6141343383789035,130.05813458251953,128.44400024414062,1.0,1.0,1.0,1.0,156.0,101.0
1,93,108.0,Celcius,molar,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.741,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.259,,0.0,,0.0,108.0,119.81679,120.755,-12.754999999999995,-3.351931121826169,123.16871884155272,119.81678771972656,2.0,2.0,2.0,2.0,168.0,145.0
2,94,104.0,Celcius,molar,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.626,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.374,,0.0,,0.0,104.0,111.65779,114.43,-10.430000000000009,-5.172665222167964,116.83045635986328,111.65779113769533,3.0,3.0,3.0,3.0,154.0,170.0
3,95,100.0,Celcius,molar,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.518,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.482,,0.0,,0.0,100.0,104.466034,108.49,-8.490000000000009,-6.411967224121099,110.87800115966796,104.46603393554688,4.0,4.0,4.0,4.0,143.0,185.0
4,96,97.0,Celcius,molar,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.582,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.418,,0.0,,0.0,97.0,98.77814,102.99,-5.989999999999995,-6.588331359863275,105.36646856689453,98.77813720703124,5.0,5.0,5.0,5.0,126.0,188.0
5,97,95.0,Celcius,molar,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.675,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.325,,0.0,,0.0,95.0,94.279274,97.875,-2.875,-5.961469268798837,100.24074325561524,94.2792739868164,6.0,6.0,6.0,6.0,88.0,180.0
6,98,92.0,Celcius,molar,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.765,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.235,,0.0,,0.0,92.0,90.293884,92.925,-0.9249999999999972,-4.986479644775386,95.28036392211914,90.29388427734376,7.0,7.0,7.0,7.0,61.0,168.0
7,99,90.0,Celcius,molar,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.848,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.152,,0.0,,0.0,90.0,87.0659,88.36,1.6400000000000006,-3.639889160156258,90.7057918701172,87.06590270996094,8.0,8.0,8.0,8.0,26.0,153.0
8,100,89.0,Celcius,molar,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.926,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.074,,0.0,,0.0,89.0,84.49254,84.07,4.930000000000007,-1.9142579956054675,86.4067964477539,84.49253845214844,9.0,9.0,9.0,9.0,6.0,109.0
9,106,39.85000000000002,Celcius,molar,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.9,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.1,,0.0,,0.0,39.85000000000002,34.442127,31.7,8.150000000000023,-2.129793930053708,36.57192115783691,34.4421272277832,21.5,39.0,37.0,42.0,3.0,119.0
