prediction_row_position,source_row_index,value,unit,fraction_type,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,4,43.5,-,molar,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.79,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.21,,0.0,,0.0,43.5,44.547207,43.760000000000005,-0.2600000000000051,2.519172382354732,42.02803449630738,44.54720687866211,31.0,29.0,24.0,29.0,67.0,36.0
1,5,32.6,-,molar,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.58,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.42,,0.0,,0.0,32.6,36.723553,34.52,-1.9199999999999944,3.6212572097778377,33.102295494079584,36.72355270385742,41.0,34.0,27.0,33.0,80.0,18.0
2,6,28.4,-,molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.52,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.48,,0.0,,0.0,28.4,31.832212,30.12,-1.7199999999999989,2.9802688598632834,28.851943588256837,31.83221244812012,54.5,38.0,31.0,40.0,77.0,32.0
3,7,24.6,-,molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.62,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.38,,0.0,,0.0,24.6,26.840591,25.72,-1.1199999999999974,2.238999748229979,24.601591682434083,26.840591430664062,64.0,60.0,44.0,60.0,71.0,37.0
4,8,20.2,-,molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.81,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.19,,0.0,,0.0,20.2,16.930965,17.36,2.84,0.405042362213134,16.52592306137085,16.930965423583984,83.0,89.0,73.0,91.0,39.0,64.0
5,68,33.0,-,molar,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",0.55,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.28,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",0.14,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.03,33.0,30.612108,26.864,6.135999999999999,3.105829887390133,27.506278343200687,30.61210823059082,38.0,43.0,40.0,43.0,29.0,29.0
6,69,53.0,-,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.52,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",0.24,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.12,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",0.12,53.0,53.011536,41.904,11.096000000000004,11.009164962768551,42.0023706817627,53.01153564453125,28.0,26.0,25.0,30.0,18.0,2.0
7,70,32.99,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.678,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.172,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.15,,0.0,32.99,30.078033,24.117,8.873000000000005,5.627625999450686,24.45040744781494,30.078033447265625,39.0,49.0,51.0,61.0,23.0,10.0
8,71,31.66,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.439,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.384,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.177,,0.0,31.66,28.333372,21.6685,9.991500000000002,5.901352647781373,22.43201946830749,28.333372116088867,43.0,56.0,58.0,67.0,21.0,9.0
9,72,36.93,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.479,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.261,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.26,,0.0,36.93,35.19267,24.65,12.28,9.571735185623163,25.62093372917176,35.19266891479492,35.0,35.0,48.0,57.0,14.0,5.0
