prediction_row_position,source_row_index,value,unit,fraction_type,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,99,67.5,-,molar,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.8,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",0.2,,0.0,,0.0,67.5,62.82949,,,0.621709060668941,62.20778160095215,62.82949066162109,14.0,8.0,,6.0,,57.0
1,154,25.7,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.92,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.08,,0.0,,0.0,25.7,16.64398,13.44,12.259999999999998,3.108760986328125,13.535219039916992,16.643980026245117,47.0,70.0,96.0,97.0,21.0,29.0
2,155,46.7,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.81,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.19,,0.0,,0.0,46.7,31.540585,23.67,23.030000000000005,7.856726055145263,23.68385850906372,31.540584564208984,22.0,37.0,49.0,53.0,6.0,16.0
3,156,38.9,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.772,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.228,,0.0,,0.0,38.9,36.864117,27.204,11.695999999999998,9.674364524841309,27.189752143859863,36.86411666870117,30.0,31.0,35.0,44.0,22.0,12.0
4,157,38.9,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.77,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.23,,0.0,,0.0,38.9,37.072796,27.39,11.509999999999998,9.69852300643921,27.374272861480712,37.07279586791992,30.0,29.0,34.0,42.0,24.0,11.0
5,158,38.9,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.75,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.25,,0.0,,0.0,38.9,39.309486,29.25,9.65,10.090006351470947,29.21948003768921,39.30948638916016,30.0,28.0,30.0,34.0,26.0,9.0
6,159,45.6,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.734,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.266,,0.0,,0.0,45.6,41.57213,30.738000000000003,14.861999999999998,10.87648251724243,30.695645778656008,41.57212829589844,25.0,27.0,29.0,30.0,17.0,6.0
7,160,45.6,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.73,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.27,,0.0,,0.0,45.6,42.158054,31.11,14.490000000000002,11.093367137908936,31.064687213897702,42.15805435180664,25.0,24.0,28.0,26.0,18.0,5.0
8,161,45.6,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.711,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.289,,0.0,,0.0,45.6,44.556595,32.876999999999995,12.723000000000006,11.738960817337038,32.817634031295775,44.55659484863281,25.0,23.0,24.0,25.0,20.0,3.0
9,162,52.2,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.7,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.3,,0.0,,0.0,52.2,45.681385,33.9,18.300000000000004,11.848887062072755,33.83249797821045,45.6813850402832,19.0,21.0,23.0,24.0,12.0,1.0
10,163,52.2,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.694,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.306,,0.0,,0.0,52.2,46.200024,34.458,17.742000000000004,11.813963520050052,34.386060131072995,46.20002365112305,19.0,20.0,22.0,21.0,14.0,2.0
11,164,52.2,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.668,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.332,,0.0,,0.0,52.2,48.107174,36.876000000000005,15.323999999999998,11.322344459533689,36.784829460144046,48.10717391967773,19.0,18.0,19.0,20.0,16.0,4.0
12,165,60.150000000000006,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.65,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.35,,0.0,,0.0,60.150000000000006,49.304047,38.55,21.60000000000001,10.858530712127688,38.44551591873169,49.304046630859375,15.0,17.0,18.0,19.0,9.0,7.0
13,166,59.1,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.648,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.352,,0.0,,0.0,59.1,49.431267,38.736,20.364000000000004,10.801230148315431,38.630036636352536,49.43126678466797,16.5,16.0,17.0,18.0,10.0,8.0
14,167,59.1,-,molar,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.621,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.379,,0.0,,0.0,59.1,51.13429,41.247,17.853,10.01322246360779,41.12106632423401,51.1342887878418,16.5,15.0,16.0,16.0,13.0,10.0
