prediction_row_position,source_row_index,value,unit,fraction_type,temperature,temperature_unit,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,19,-0.1595691469444873,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.9,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.1,,0.0,,0.0,-0.1595691469444873,-0.1946275,-0.1158660818794603,-0.0437030650650269,-0.0140151143074035,-0.1806123793125152,-0.1946274936199188,3558.5,3624.0,2929.0,3710.0,3124.0,3581.0
1,20,-0.2489094485526563,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.9,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.1,,0.0,,0.0,-0.2489094485526563,-0.27485576,-0.1992657139477047,-0.0496437346049515,-0.0157155662775039,-0.259140196442604,-0.274855762720108,3835.0,3865.0,3163.0,3970.0,3233.0,3645.0
2,21,-0.1105240844637142,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.8,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.2,,0.0,,0.0,-0.1105240844637142,-0.12947476,-0.0320980361963369,-0.0784260482673772,-0.0346121311187744,-0.0948626279830932,-0.1294747591018676,3414.0,3418.0,2718.0,3406.0,3748.0,4114.0
3,22,-0.2003249030904819,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.8,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.2,,0.0,,0.0,-0.2003249030904819,-0.21421537,-0.1176160465501358,-0.082708856540346,-0.0365540921688079,-0.1776612758636475,-0.2142153680324554,3697.5,3681.0,2933.0,3695.0,3808.0,4144.0
4,23,-0.0591764368899469,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.7,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.3,,0.0,,0.0,-0.0591764368899469,-0.06851265,0.0516700094867864,-0.1108464463767333,-0.0593997716903686,-0.0091128766536712,-0.0685126483440399,3280.0,3239.0,2507.0,3140.0,4171.0,4616.0
5,24,-0.1455233778772237,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.7,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.3,,0.0,,0.0,-0.1455233778772237,-0.16109118,-0.035966379152567,-0.1095569987246566,-0.0649088233709335,-0.0961823552846908,-0.1610911786556244,3514.0,3523.0,2725.0,3416.0,4157.0,4715.0
6,25,0.0085195648440779,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.6,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.4,,0.0,,0.0,0.0085195648440779,-0.015546858,0.1354380551699098,-0.1269184903258319,-0.0921837329864502,0.0766368746757507,-0.0155468583106994,3102.0,3127.0,2331.0,2893.0,4369.0,5115.0
7,26,-0.0895705601174683,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.6,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.4,,0.0,,0.0,-0.0895705601174683,-0.113741934,0.0456832882450018,-0.1352538483624702,-0.0990384995937347,-0.0147034347057342,-0.113741934299469,3359.0,3367.0,2522.0,3151.0,4465.0,5206.0
8,27,0.0732222059572106,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.5,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.5,,0.0,,0.0,0.0732222059572106,0.04560633,0.2192061008530332,-0.1459838948958226,-0.1167802959680557,0.1623866260051727,0.045606330037117,2940.0,2977.0,2166.0,2683.0,4577.0,5430.0
9,28,-0.020493007327647,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.5,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.5,,0.0,,0.0,-0.020493007327647,-0.075841665,0.1273329556425707,-0.1478259629702177,-0.1426171511411667,0.0667754858732223,-0.0758416652679443,3182.0,3256.0,2353.0,2918.0,4597.0,5718.0
10,29,0.1577270788700921,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.6,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.4,,0.0,,0.0,0.1577270788700921,0.12686005,0.3029741465361565,-0.1452470676660644,-0.1212763249874114,0.2481363773345947,0.1268600523471832,2756.0,2791.0,2009.0,2481.0,4567.0,5481.0
11,30,0.0571041103062523,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.6,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.4,,0.0,,0.0,0.0571041103062523,-0.028234154,0.2089826230401396,-0.1518785127338873,-0.176488560438156,0.1482544064521789,-0.0282341539859771,2980.5,3157.0,2187.0,2722.0,4642.0,6060.0
12,31,0.240159625199279,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.7,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.3,,0.0,,0.0,0.240159625199279,0.24142691,0.3867421922192799,-0.1465825670200009,-0.092459213733673,0.3338861286640167,0.2414269149303436,2574.5,2556.0,1848.0,2264.0,4583.0,5117.0
13,32,0.1487469970074153,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.7,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.3,,0.0,,0.0,0.1487469970074153,0.075113,0.2906322904377084,-0.1418852934302931,-0.1546203285455703,0.2297333270311355,0.0751129984855651,2775.5,2920.0,2031.0,2525.0,4528.0,5850.0
14,33,0.3446969884212086,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.8,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.2,,0.0,,0.0,0.3446969884212086,0.35725743,0.4705102379024033,-0.1258132494811947,-0.062378454208374,0.4196358799934387,0.3572574257850647,2349.0,2298.0,1674.0,2053.0,4356.0,4671.0
15,34,0.2525935847014468,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.8,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.2,,0.0,,0.0,0.2525935847014468,0.21117441,0.3722819578352774,-0.1196883731338305,-0.1000378340482711,0.3112122476100921,0.2111744135618209,2552.0,2609.0,1869.0,2316.0,4286.0,5219.0
16,35,0.4722602025730788,ln(mPa*s),molar,301.9,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.9,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.1,,0.0,,0.0,0.4722602025730788,0.46329397,0.5542782835855268,-0.0820180810124479,-0.0420916616916656,0.5053856313228607,0.463293969631195,2061.0,2057.0,1515.0,1862.0,3798.0,4277.0
