prediction_row_position,source_row_index,value,unit,fraction_type,temperature,temperature_unit,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,4691,-0.5407958517141518,ln(mPa*s),molar,298.0,K,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",0.878,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.122,,0.0,,0.0,-0.5407958517141518,-0.6877856,-0.8161376214999355,0.2753417697857837,0.1100259163379668,-0.7978115417957305,-0.6877856254577637,5602.0,6052.0,6222.0,6498.0,491.0,801.0
1,4692,-0.5187078262320516,ln(mPa*s),molar,298.0,K,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",0.792,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.208,,0.0,,0.0,-0.5187078262320516,-0.52539104,-0.6639612290932788,0.1452534028612272,0.1214780745506287,-0.6468691167831422,-0.5253910422325134,5523.0,5500.0,5731.0,5928.0,907.0,723.0
2,4693,-0.1603478245233494,ln(mPa*s),molar,298.0,K,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",0.61,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.39,,0.0,,0.0,-0.1603478245233494,-0.20017557,-0.3419135149303539,0.1815656904070045,0.1272572535276412,-0.3274328219890594,-0.2001755684614181,4294.0,4372.0,4796.0,4982.0,752.0,697.0
3,4694,0.0171079758642101,ln(mPa*s),molar,298.0,K,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.576,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",0.424,,0.0,,0.0,0.0171079758642101,0.11860204,-0.0127878290275846,0.0298958048917947,0.1195779867172241,-0.0009759492874145,0.1186020374298095,3633.0,3229.0,3713.0,3849.0,1994.0,734.0
4,4695,0.1837978665122971,ln(mPa*s),molar,298.0,K,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.755,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",0.245,,0.0,,0.0,0.1837978665122971,0.34150827,0.3039514063304569,-0.1201535398181598,0.0283133572340011,0.3131949120759963,0.3415082693099975,3059.0,2375.0,2596.0,2709.0,5098.0,1837.0
5,4696,0.4753628685840002,ln(mPa*s),molar,298.0,K,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.83,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",0.17,,0.0,,0.0,0.4753628685840002,0.45905244,0.4366633764525413,0.0386994921314589,0.0142216956615448,0.4448307478427886,0.4590524435043335,2005.0,1945.0,2141.0,2194.0,1859.0,2220.0
6,13707,-0.950507126387942,ln(mPa*s),molar,303.15,K,InChI=1S/CH2Cl2/c2-1-3/h1H2,0.9,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,0.1,,0.0,,0.0,-0.950507126387942,-0.85000914,-0.96291806003918,0.0124109336512381,0.0655595898628235,-0.915568733215332,-0.8500091433525085,6831.0,6628.0,6513.0,6802.0,2400.0,1201.0
7,13708,-0.911132921297744,ln(mPa*s),molar,303.15,K,InChI=1S/CH2Cl2/c2-1-3/h1H2,0.8,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,0.2,,0.0,,0.0,-0.911132921297744,-0.798498,-0.9322706524514291,0.0211377311536852,0.0825486660003662,-0.8810466408729554,-0.7984979748725891,6731.5,6463.0,6470.0,6741.0,2193.0,1021.0
8,13709,-0.87014690664245,ln(mPa*s),molar,303.15,K,InChI=1S/CH2Cl2/c2-1-3/h1H2,0.7,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,0.3,,0.0,,0.0,-0.87014690664245,-0.73177564,-0.9016232448636784,0.0314763382212285,0.1147489070892333,-0.8465245485305786,-0.7317756414413452,6660.5,6220.0,6413.0,6650.0,1969.0,768.0
9,13710,-0.8376804568312339,ln(mPa*s),molar,303.15,K,InChI=1S/CH2Cl2/c2-1-3/h1H2,0.6,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,0.4,,0.0,,0.0,-0.8376804568312339,-0.70205,-0.8709758372759278,0.0332953804446938,0.1099524855613709,-0.812002456188202,-0.702049970626831,6593.5,6103.0,6356.0,6554.0,1939.5,802.0
