prediction_row_position,source_row_index,value,unit,fraction_type,temperature,temperature_unit,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,1816,-0.4328859974828806,ln(mPa*s),molar,303.15,K,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.9,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.1,,0.0,,0.0,-0.4328859974828806,-0.38743976,-0.3923144481443255,-0.040571549338555,-0.0295460253953933,-0.3578937321901321,-0.3874397575855255,5614.5,5435.0,5291.0,5355.0,4675.0,4501.0
1,1817,-0.4526882292826294,ln(mPa*s),molar,303.15,K,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.8,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.2,,0.0,,0.0,-0.4526882292826294,-0.38851914,-0.3747687497357109,-0.0779194795469184,-0.0497143328189849,-0.3388048052787781,-0.388519138097763,5683.0,5441.0,5219.0,5286.0,5314.0,4987.0
2,1818,-0.4476225420780425,ln(mPa*s),molar,303.15,K,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.7,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.3,,0.0,,0.0,-0.4476225420780425,-0.3999962,-0.3572230513270962,-0.0903994907509462,-0.0802803128957748,-0.319715878367424,-0.3999961912631988,5668.5,5486.0,5156.0,5211.0,5494.0,5553.0
3,1819,-0.4344978070479764,ln(mPa*s),molar,303.15,K,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.6,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.4,,0.0,,0.0,-0.4344978070479764,-0.4148532,-0.3396773529184816,-0.0948204541294948,-0.114226233959198,-0.3006269514560699,-0.4148531854152679,5620.0,5541.0,5106.0,5141.0,5554.0,6055.0
4,1820,-0.4112416976087366,ln(mPa*s),molar,303.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.5,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.5,,0.0,,0.0,-0.4112416976087366,-0.41623792,-0.3221316545098669,-0.0891100430988696,-0.1346998959779739,-0.2815380245447159,-0.4162379205226898,5541.5,5546.0,5044.0,5067.0,5477.0,6240.0
5,1821,-0.383610676492808,ln(mPa*s),molar,303.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.6,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.4,,0.0,,0.0,-0.383610676492808,-0.39559665,-0.3045859561012524,-0.0790247203915556,-0.1331475555896759,-0.2624490976333618,-0.3955966532230377,5431.5,5472.0,4964.5,5005.0,5333.0,6224.0
6,1822,-0.3536770702838854,ln(mPa*s),molar,303.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.7,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.3,,0.0,,0.0,-0.3536770702838854,-0.35701445,-0.2870402576926377,-0.0666368125912477,-0.1136542767286301,-0.2433601707220077,-0.3570144474506378,5325.5,5349.0,4896.0,4924.0,5136.0,6049.0
7,1823,-0.3223619130191664,ln(mPa*s),molar,303.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.8,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.2,,0.0,,0.0,-0.3223619130191664,-0.298565,-0.2694945592840231,-0.0528673537351432,-0.0742937564849853,-0.2242712438106537,-0.298565000295639,5213.0,5150.0,4838.0,4853.0,4914.0,5440.0
8,1824,-0.2880533951335551,ln(mPa*s),molar,303.15,K,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.9,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",0.1,,0.0,,0.0,-0.2880533951335551,-0.24607638,-0.2519488608754084,-0.0361045342581466,-0.0408940583467483,-0.2051823168992996,-0.2460763752460479,5090.5,4973.0,4780.0,4783.0,4581.0,4787.0
9,1898,0.0221048168927428,ln(mPa*s),molar,310.65,K,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.9,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.1,,0.0,,0.0,0.0221048168927428,0.016962945,0.0881890090616719,-0.0660841921689291,-0.1496789559721947,0.1666419014334678,0.0169629454612731,3990.5,4061.0,3514.0,3380.0,5127.0,6363.0
10,1899,0.1839765489302242,ln(mPa*s),molar,310.65,K,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.8,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.2,,0.0,,0.0,0.1839765489302242,0.12965897,0.3023294227101182,-0.118352873779894,-0.2365174353122711,0.3661764025688171,0.129658967256546,3404.5,3670.0,2802.0,2677.0,5838.0,6834.0
11,1900,0.363117669165161,ln(mPa*s),molar,310.65,K,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.7,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.3,,0.0,,0.0,0.363117669165161,0.311981,0.5164698363585646,-0.1533521671934036,-0.2537299111485481,0.5657109037041664,0.3119809925556183,2793.0,2985.0,2151.0,2087.0,6163.0,6898.0
12,1901,0.557225592504559,ln(mPa*s),molar,310.65,K,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.6,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.4,,0.0,,0.0,0.557225592504559,0.48160693,0.7306102500070109,-0.1733846575024518,-0.2836384743452073,0.7652454048395158,0.4816069304943084,2184.0,2415.0,1597.0,1543.0,6279.0,6973.0
13,1902,0.744425760564975,ln(mPa*s),molar,310.65,K,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.5,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.5,,0.0,,0.0,0.744425760564975,0.71307063,0.9447506636554572,-0.2003249030904821,-0.2517092749476433,0.964779905974865,0.7130706310272217,1698.0,1771.0,1139.0,1127.0,6420.0,6892.0
14,1903,0.9956377942106256,ln(mPa*s),molar,310.65,K,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.6,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.4,,0.0,,0.0,0.9956377942106256,0.96282315,1.1588910773039034,-0.1632532830932778,-0.2014912545681,1.1643144071102145,0.9628231525421144,1188.0,1236.0,867.0,888.0,6229.0,6702.0
15,1904,1.219218806740347,ln(mPa*s),molar,310.65,K,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.7,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.3,,0.0,,0.0,1.219218806740347,1.2630599,1.3730314909523496,-0.1538126842120024,-0.100789053738117,1.3638489082455634,1.2630598545074463,930.5,871.0,675.0,709.0,6167.0,5879.0
16,1905,1.476187303118483,ln(mPa*s),molar,310.65,K,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.8,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.2,,0.0,,0.0,1.476187303118483,1.5244181,1.5871719046007962,-0.1109846014823132,-0.0389652937650681,1.563383409380913,1.5244181156158447,707.0,646.0,531.0,563.0,5753.0,4732.0
17,1906,1.740754330303499,ln(mPa*s),molar,310.65,K,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.9,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.1,,0.0,,0.0,1.740754330303499,1.7762514,1.801312318249242,-0.0605579879457431,0.0133335247635841,1.762917910516262,1.7762514352798462,539.0,452.0,402.0,430.0,5052.0,3210.0
18,1924,0.2420016932736742,ln(mPa*s),molar,308.15,K,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",0.9,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",0.1,,0.0,,0.0,0.2420016932736742,0.15601827,0.3120233059516232,-0.0700216126779489,-0.1199124202132225,0.275930692255497,0.1560182720422744,3218.5,3553.0,2756.0,2985.0,5199.0,6110.0
