prediction_row_position,source_row_index,value,unit,fraction_type,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,0,70.0,-,molar,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.5,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.3,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.1,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.1,70.0,76.17121,,,1.801029586791998,74.37018165588378,76.17121124267578,12.0,11.0,,13.0,,52.0
1,1,51.3,-,molar,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.6,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.2,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.1,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.1,51.3,53.009697,,,2.2671356201171875,50.74256134033203,53.00969696044922,39.0,35.0,,34.0,,46.0
2,2,61.43,-,molar,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.6,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.2,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.1,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.1,61.43,67.470535,,,3.06887435913086,64.40166091918945,67.47053527832031,24.0,16.0,,19.0,,37.0
3,3,47.2,-,molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.4,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.3,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",0.2,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",0.1,47.2,52.43613,,,5.84896545410156,46.58716506958008,52.43613052368164,46.0,37.0,,40.0,,10.0
4,59,56.0,-,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.45,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",0.21,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,0.19,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",0.15,56.0,54.171516,43.472,12.528000000000006,8.587591667175296,45.583924751281735,54.17151641845703,33.0,33.0,22.0,45.0,10.0,5.0
5,60,34.5,-,molar,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",0.563,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",0.24,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,0.141,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.056,34.5,29.229729,27.4702,7.029799999999998,1.1227064170837373,28.10702228164673,29.22972869873047,65.0,76.0,41.0,76.0,18.0,60.0
6,61,40.87,-,molar,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",0.34,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,0.3,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",0.24,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.12,40.87,34.275734,30.042,10.828,3.666218948364257,30.60951499938965,34.275733947753906,59.0,66.0,39.0,70.0,13.0,33.0
7,62,60.6,-,molar,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.58,"InChI=1S/C10H20/c1-2-3-7-10-8-5-4-6-9-10/h10H,2-9H2,1H3",0.25,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.17,,0.0,60.6,79.17935,,,4.469916858673102,74.70943494796752,79.17935180664062,26.0,10.0,,12.0,,25.0
8,63,59.5,-,molar,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.56,"InChI=1S/C10H20/c1-2-3-7-10-8-5-4-6-9-10/h10H,2-9H2,1H3",0.25,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.19,,0.0,59.5,51.521576,,,5.528031082153319,45.993544845581056,51.521575927734375,28.0,40.0,,43.0,,12.0
9,64,59.1,-,molar,"InChI=1S/C10H20/c1-2-3-7-10-8-5-4-6-9-10/h10H,2-9H2,1H3",0.5,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.27,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.23,,0.0,59.1,56.630676,,,2.8888261222839304,53.74185014724732,56.63067626953125,30.5,28.0,,30.0,,38.0
10,65,23.9,-,molar,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,0.45,"InChI=1S/C8H14/c1-7(2)5-6-8(3)4/h5-6H,1-4H3",0.33,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.13,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",0.09,23.9,24.053865,22.302,1.5980000000000023,1.8728142929077125,22.181051139831546,24.053865432739254,85.0,88.0,50.0,91.0,36.0,49.0
11,66,30.0,-,molar,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,0.37,"InChI=1S/C8H14/c1-7(2)5-6-8(3)4/h5-6H,1-4H3",0.33,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.21,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",0.09,30.0,32.30745,26.438,3.5619999999999976,5.47204486846924,26.835404472351076,32.30744934082031,69.5,68.0,43.0,79.0,31.0,13.0
