prediction_row_position,source_row_index,value,unit,fraction_type,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,101,157.6,Celcius,molar,"InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3",0.907,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",0.093,,0.0,,0.0,157.6,170.15088,178.1088,-20.508800000000008,-1.4120934448242224,171.56297235107422,170.15087890625,11.0,3.0,3.0,3.0,171.0,68.0
1,102,141.9,Celcius,molar,"InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3",0.8,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",0.2,,0.0,,0.0,141.9,160.17253,169.72000000000003,-27.82000000000002,-3.0602783203125057,163.2328094482422,160.1725311279297,20.0,8.0,7.0,7.0,174.0,117.0
2,103,124.5,Celcius,molar,"InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3",0.6,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",0.4,,0.0,,0.0,124.5,141.47977,154.04,-29.539999999999992,-6.182644653320324,147.66241149902345,141.47976684570312,28.0,20.0,18.0,17.0,175.0,158.0
3,104,118.3,Celcius,molar,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",0.582,"InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3",0.418,,0.0,,0.0,118.3,126.774704,139.7712,-21.4712,-6.718645385742178,133.49334936523437,126.7747039794922,29.0,28.0,26.0,26.0,172.0,166.0
4,105,112.0,Celcius,molar,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",0.8,"InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3",0.2,,0.0,,0.0,112.0,112.645935,122.68,-10.680000000000009,-3.875680541992182,116.52161560058592,112.64593505859376,30.0,30.0,30.0,30.0,153.0,134.0
5,133,63.0,Celcius,molar,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",0.921,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",0.079,,0.0,,0.0,63.0,64.78574,69.339,-6.338999999999999,-1.335109125137322,66.12085283851623,64.7857437133789,38.0,42.0,50.0,47.0,131.0,65.0
6,134,68.0,Celcius,molar,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",0.922,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",0.078,,0.0,,0.0,68.0,64.32096,70.17800000000001,-2.1780000000000115,-1.7485857009887695,66.06954669952393,64.32096099853516,34.0,44.0,46.0,48.0,85.0,77.0
7,135,66.0,Celcius,molar,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",0.921,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",0.079,,0.0,,0.0,66.0,64.344246,70.12899999999999,-4.128999999999991,-1.808825893402101,66.15307180404663,64.34424591064453,36.0,43.0,47.0,46.0,107.0,81.0
8,136,67.0,Celcius,molar,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",0.921,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",0.079,,0.0,,0.0,67.0,64.2558,70.6425,-3.6424999999999983,-2.0923643836975145,66.34816272354126,64.25579833984375,35.0,45.0,44.0,44.0,100.0,90.0
9,137,59.19999999999999,Celcius,molar,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",0.926,"InChI=1S/C8H16/c1-7-3-5-8(2)6-4-7/h7-8H,3-6H2,1-2H3/t7-,8+",0.074,,0.0,,0.0,59.19999999999999,62.301636,,,-3.619008312225347,65.92064405441285,62.3016357421875,48.0,50.0,,50.0,,125.0
