source,source_file,source_row_index,data_id,split
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,4,mix:4,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,5,mix:5,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,6,mix:6,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,7,mix:7,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,8,mix:8,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,68,mix:68,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,69,mix:69,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,70,mix:70,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,71,mix:71,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,72,mix:72,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,73,mix:73,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,74,mix:74,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,75,mix:75,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,89,mix:89,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,90,mix:90,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,91,mix:91,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,92,mix:92,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,93,mix:93,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,94,mix:94,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,95,mix:95,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,96,mix:96,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,97,mix:97,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,98,mix:98,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,115,mix:115,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,116,mix:116,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,117,mix:117,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,118,mix:118,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,119,mix:119,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,120,mix:120,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,134,mix:134,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,135,mix:135,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,136,mix:136,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,137,mix:137,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,138,mix:138,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,139,mix:139,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,140,mix:140,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,141,mix:141,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,142,mix:142,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,143,mix:143,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,144,mix:144,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,145,mix:145,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,146,mix:146,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,147,mix:147,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,148,mix:148,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,149,mix:149,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,150,mix:150,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,151,mix:151,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,152,mix:152,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,153,mix:153,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,255,mix:255,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,256,mix:256,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,257,mix:257,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,258,mix:258,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,259,mix:259,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,260,mix:260,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,261,mix:261,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,262,mix:262,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,263,mix:263,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,264,mix:264,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,265,mix:265,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,266,mix:266,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,267,mix:267,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,268,mix:268,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,269,mix:269,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,270,mix:270,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,271,mix:271,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,272,mix:272,test
mix,datasets/fuel_ignition_numbers/processed_data/dcn_mix_exp.csv,273,mix:273,test
